Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
187,Dezmon Patmon (FA),2,6,24,12.0,17,0,0,0,0,0,0,1,3.4,3.4,0.0%
188,Dareke Young (SEA),2,2,24,12.0,12,0,0,0,0,0,0,8,3.4,0.4,0.0%
189,Andy Isabella (FA),2,5,21,10.5,11,0,0,1,1,0,0,4,3.2,0.8,0.0%
190,Montrell Washington (NYG),4,9,2,0.5,4,0,0,5,30,0,1,15,3.2,0.2,0.0%
191,Pharoh Cooper (FA),2,2,6,3.0,3,0,0,4,15,0,0,5,3.1,0.6,0.0%
192,Cade Johnson (FA),2,4,21,10.5,11,0,0,0,0,0,0,2,3.1,1.6,0.0%
193,Lil'Jordan Humphrey (NYG),2,4,20,10.0,11,0,0,0,0,0,0,4,3.0,0.8,0.7%
194,Bryan Edwards (FA),3,5,15,5.0,10,0,0,0,0,0,0,4,3.0,0.8,0.0%
195,Keith Kirkwood (BAL),2,4,18,9.0,14,0,0,0,0,0,0,3,2.8,0.9,0.0%
196,Dennis Houston (TB),2,6,16,8.0,11,0,0,0,0,0,0,2,2.6,1.3,1.0%
197,DJ Turner (FA),0,1,0,0.0,0,0,0,4,26,0,0,6,2.6,0.4,1.0%
198,Quintez Cephus (HOU),2,3,15,7.5,9,0,0,0,0,0,0,3,2.5,0.8,0.0%
199,Nsimba Webster (FA),2,3,14,7.0,8,0,0,0,0,0,0,1,2.4,2.4,0.0%
200,Danny Gray (FA),1,7,10,10.0,10,0,0,1,9,0,0,7,2.4,0.3,0.0%
201,Austin Trammell (JAC),2,4,13,6.5,8,0,0,0,0,0,0,2,2.3,1.2,0.0%
202,Juwann Winfree (FA),1,4,17,17.0,17,0,0,0,0,0,0,3,2.2,0.7,0.0%
203,Jalen Tolbert (DAL),2,3,12,6.0,8,0,0,0,0,0,0,3,2.2,0.7,16.0%
204,Miles Boykin (CHI),2,3,11,5.5,11,0,0,0,0,0,0,10,2.1,0.2,0.0%
205,Frank Darby (FA),1,1,15,15.0,15,0,0,0,0,0,0,1,2.0,2.0,0.0%
206,Tyron Billy-Johnson (FA),1,1,8,8.0,8,0,0,0,0,0,0,2,1.3,0.7,0.0%
207,Maurice Alexander (CHI),1,1,7,7.0,7,0,0,0,0,0,0,3,1.2,0.4,1.0%
208,Jalen Camp (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%
209,C.J. Board (FA),1,1,6,6.0,6,0,0,0,0,0,0,4,1.1,0.3,0.0%
210,Jason Moore Jr. (FA),1,2,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%
211,Erik Ezukanma (MIA),1,1,3,3.0,3,0,0,0,0,0,0,1,0.8,0.8,0.0%
212,Mason Kinsey (TEN),1,1,3,3.0,3,0,0,0,0,0,0,2,0.8,0.4,0.0%
213,Cody White (SEA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.7,0.7,0.0%
214,Braylon Sanders (WAS),2,3,17,8.5,13,0,0,0,0,0,1,2,0.7,0.4,0.0%
215,Keke Coutee (FA),1,1,20,20.0,20,1,0,0,0,0,1,7,0.5,0.1,0.0%
216,Deonte Harty (FA),2,2,13,6.5,9,0,0,0,0,0,1,4,0.3,0.1,0.0%
217,Kirk Merritt (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
218,Justyn Ross (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
219,Binjimen Victor (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
220,Dan Chisena (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
221,Josh Ali (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.3%
222,Jacob Harris (TB),1,1,6,6.0,6,0,0,0,0,0,0,3,0.0,0.0,0.0%
223,Avery Williams (PHI),13,14,61,4.7,10,0,0,22,109,1,1,17,0.0,0.0,0.6%
224,Lance McCutcheon (PIT),0,5,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
225,Raleigh Webb (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,1.2%
226,Emeka Emezie (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
227,Tay Martin (WAS),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
228,Britain Covey (LAR),0,0,0,0.0,0,0,0,0,0,0,0,17,0.0,0.0,0.0%
229,Stanley Berryhill III (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
230,Josh Gordon (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
231,Albert Wilson (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
232,Matthew Slater (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
233,Andre Roberts (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
234,Brandon Zylstra (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
235,James Washington (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
236,Justin Hardee Sr. (FA),0,0,0,0.0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
237,Tanner Gentry (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
238,Marcus Kemp (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
